id,item_id,item_amount,item_ingredient_0,amount_ingredient_0,item_ingredient_1,amount_ingredient_1,item_ingredient_2,amount_ingredient_2,item_ingredient_3,amount_ingredient_3,item_ingredient_4,amount_ingredient_4,item_ingredient_5,amount_ingredient_5,item_ingredient_6,amount_ingredient_6,item_ingredient_7,amount_ingredient_7
1,5056,1,5106,2,5107,1,0,0,0,0,0,0,0,0,2,1,-1,0
2,2546,1,5056,1,5361,1,0,0,0,0,0,0,0,0,2,1,5,1
3,1602,1,5056,1,5361,1,5432,1,0,0,0,0,0,0,2,1,5,1
4,2355,1,5056,2,5275,1,0,0,0,0,0,0,0,0,2,1,5,1
5,5091,1,5056,1,0,0,0,0,0,0,0,0,0,0,2,1,-1,0
6,1750,1,5056,2,5361,1,0,0,0,0,0,0,0,0,2,1,5,1
7,2380,1,5056,1,5091,1,5482,1,0,0,0,0,0,0,2,1,5,1
8,2430,1,5056,1,5361,1,5482,1,0,0,0,0,0,0,2,1,5,1
9,2315,1,5056,1,5091,1,5361,1,0,0,0,0,0,0,2,1,5,1
10,2328,1,5056,1,5361,1,5482,1,0,0,0,0,0,0,2,1,5,1
11,2341,1,5056,1,5324,1,5361,1,0,0,0,0,0,0,2,1,5,1
12,2367,1,5056,1,5361,1,0,0,0,0,0,0,0,0,2,1,5,1
13,2507,1,5056,1,5361,1,5258,1,0,0,0,0,0,0,2,1,5,1
14,2481,1,5056,2,5361,1,0,0,0,0,0,0,0,0,2,1,5,1
15,1603,1,5056,1,5275,1,5432,1,0,0,0,0,0,0,2,1,5,1
16,2392,1,5056,1,5091,1,5361,1,0,0,0,0,0,0,2,1,5,1
17,1751,1,5056,2,5361,1,0,0,0,0,0,0,0,0,2,1,5,1
18,2520,1,5056,1,5324,1,5361,1,0,0,0,0,0,0,2,1,5,1
19,2417,1,5056,1,5361,1,5258,1,0,0,0,0,0,0,2,1,5,1
20,1752,1,1750,1,5056,1,0,0,0,0,0,0,0,0,2,1,5,1
21,2329,1,5056,1,5361,1,5482,1,0,0,0,0,0,0,2,1,5,1
22,2356,1,5056,2,5276,1,0,0,0,0,0,0,0,0,2,1,5,1
23,2381,1,5056,1,5091,1,4856,1,0,0,0,0,0,0,2,1,5,1
24,2482,1,5056,2,5364,1,0,0,0,0,0,0,0,0,2,1,5,1
25,2342,1,5056,1,5324,1,5364,1,0,0,0,0,0,0,2,1,5,1
26,2393,1,5056,1,5091,1,5364,1,0,0,0,0,0,0,2,1,5,1
27,2431,1,5056,1,5364,1,5483,1,0,0,0,0,0,0,2,1,5,1
28,2560,1,5056,1,5364,1,5258,1,0,0,0,0,0,0,2,1,5,1
29,2368,1,5056,1,5364,1,0,0,0,0,0,0,0,0,2,1,5,1
30,2521,1,5056,1,5324,1,5364,1,0,0,0,0,0,0,2,1,5,1
31,2418,1,5056,1,5364,1,5258,1,0,0,0,0,0,0,2,1,5,1
32,2508,1,5056,1,5364,1,5258,1,0,0,0,0,0,0,2,1,5,1
33,2534,1,5056,1,5364,1,5503,1,0,0,0,0,0,0,2,1,5,1
34,2316,1,5056,1,5091,1,5364,1,0,0,0,0,0,0,2,1,5,1
35,2547,1,5056,1,5364,1,0,0,0,0,0,0,0,0,2,1,5,1
36,2394,1,2393,1,5091,2,0,0,0,0,0,0,0,0,2,1,5,1
37,1684,1,5056,2,5276,1,0,0,0,0,0,0,0,0,2,1,5,1
38,1605,1,5056,1,5276,1,5434,1,0,0,0,0,0,0,2,1,5,1
39,1753,1,5056,3,5364,1,0,0,0,0,0,0,0,0,2,1,5,1
40,2419,1,2417,1,5258,1,5063,1,0,0,0,0,0,0,2,1,5,1
